name,stars,language,owner,url,created_at,age_years,license
freeCodeCamp,390361,TypeScript,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,9.42,"BSD 3-Clause ""New"" or ""Revised"" License"
free-programming-books,322144,,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,10.62,Creative Commons Attribution 4.0 International
awesome,303976,,sindresorhus,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,9.87,Creative Commons Zero v1.0 Universal
public-apis,294382,Python,public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,8.18,MIT License
coding-interview-university,293697,,jwasham,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,7.97,Creative Commons Attribution Share Alike 4.0 International
developer-roadmap,277490,TypeScript,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,7.19,Other
996.ICU,269180,,996icu,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,5.16,Other
build-your-own-x,264398,,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,6.04,No License
system-design-primer,258079,Python,donnemartin,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,7.24,Other
react,223383,JavaScript,facebook,https://github.com/facebook/react,2013-05-24T16:15:54Z,11.0,MIT License
awesome-python,207635,Python,vinta,https://github.com/vinta/awesome-python,2014-06-27T21:00:06Z,9.91,Other
vue,207147,TypeScript,vuejs,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,10.82,MIT License
javascript-algorithms,183817,JavaScript,trekhleb,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,6.17,MIT License
tensorflow,182992,C++,tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,8.55,Apache License 2.0
awesome-selfhosted,180998,,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,8.98,Other
Python,180687,Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,7.86,MIT License
You-Dont-Know-JS,176934,,getify,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,10.52,Other
project-based-learning,173080,,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,7.12,MIT License
CS-Notes,172804,,CyC2018,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,6.28,No License
linux,171902,C,torvalds,https://github.com/torvalds/linux,2011-09-04T22:48:12Z,12.72,Other
ohmyzsh,169561,Shell,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,14.74,MIT License
bootstrap,167663,JavaScript,twbs,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,12.82,MIT License
computer-science,163934,,ossu,https://github.com/ossu/computer-science,2014-05-04T00:18:39Z,10.06,MIT License
flutter,162356,Dart,flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,9.22,"BSD 3-Clause ""New"" or ""Revised"" License"
AutoGPT,162314,Python,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,1.19,MIT License
vscode,159034,TypeScript,microsoft,https://github.com/microsoft/vscode,2015-09-03T20:23:38Z,8.72,MIT License
gitignore,158453,,github,https://github.com/github/gitignore,2010-11-08T20:17:14Z,13.55,Creative Commons Zero v1.0 Universal
Python-100-Days,150754,Python,jackfrued,https://github.com/jackfrued/Python-100-Days,2018-03-01T16:05:52Z,6.23,No License
the-art-of-command-line,149556,,jlevy,https://github.com/jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,9.02,No License
JavaGuide,143848,Java,Snailclimb,https://github.com/Snailclimb/JavaGuide,2018-05-07T13:27:00Z,6.05,Apache License 2.0
javascript,142386,JavaScript,airbnb,https://github.com/airbnb/javascript,2012-11-01T23:13:50Z,11.56,MIT License
the-book-of-secret-knowledge,132549,,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,5.92,MIT License
stable-diffusion-webui,131848,Python,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,1.75,GNU Affero General Public License v3.0
youtube-dl,128990,Python,ytdl-org,https://github.com/ytdl-org/youtube-dl,2010-10-31T14:35:07Z,13.57,The Unlicense
transformers,126494,Python,huggingface,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,5.57,Apache License 2.0
fucking-algorithm,123693,Markdown,labuladong,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,4.26,No License
awesome-go,122316,Go,avelino,https://github.com/avelino/awesome-go,2014-07-06T13:42:15Z,9.89,MIT License
next.js,121463,JavaScript,vercel,https://github.com/vercel/next.js,2016-10-05T23:32:51Z,7.63,MIT License
go,120227,Go,golang,https://github.com/golang/go,2014-08-19T04:33:40Z,9.77,"BSD 3-Clause ""New"" or ""Revised"" License"
30-seconds-of-code,119595,JavaScript,Chalarangelo,https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,6.48,Creative Commons Attribution 4.0 International
react-native,116337,C++,facebook,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,9.37,MIT License
electron,112237,C++,electron,https://github.com/electron/electron,2013-04-12T01:47:36Z,11.12,MIT License
tech-interview-handbook,112180,TypeScript,yangshun,https://github.com/yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,7.89,MIT License
free-programming-books-zh_CN,109455,,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,10.56,GNU General Public License v3.0
d3,107821,Shell,d3,https://github.com/d3/d3,2010-09-27T17:22:42Z,13.66,ISC License
kubernetes,107353,Go,kubernetes,https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,9.97,Apache License 2.0
PowerToys,105278,C#,microsoft,https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,5.06,MIT License
awesome-chatgpt-prompts,105081,HTML,f,https://github.com/f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,1.47,Creative Commons Zero v1.0 Universal
node,104372,JavaScript,nodejs,https://github.com/nodejs/node,2014-11-26T19:57:11Z,9.49,Other
axios,104218,JavaScript,axios,https://github.com/axios/axios,2014-08-18T22:30:27Z,9.77,MIT License
scrcpy,103260,C,Genymobile,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,6.5,Apache License 2.0
